Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48585;26/07/2024;1174;TACOS MIXTE;
48585;26/07/2024;2376;--> TACOS;
48585;26/07/2024;10000;--> BIGGY;
48585;26/07/2024;1174;TACOS MIXTE;
48585;26/07/2024;2376;--> TACOS;
48585;26/07/2024;4360;--> ALGERIENNE;
48585;26/07/2024;3355;ZAALOK;
48586;26/07/2024;559;PEPPERONI DE DINDE;
48587;26/07/2024;1174;TACOS MIXTE;
48587;26/07/2024;2376;--> TACOS;
48587;26/07/2024;CODE_COMM;--> ss sauce;
48587;26/07/2024;CODE_COMM;--> alg et bbq separe;
48587;26/07/2024;70240;FRITE;
48588;26/07/2024;9053;TACOS VIANDE HACHEE;
48588;26/07/2024;2376;--> TACOS;
48588;26/07/2024;10000;--> BIGGY;
48589;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48590;26/07/2024;4;VIANDE HACHEE;
48590;26/07/2024;3;SAUCISSE BF;
48591;26/07/2024;315;SAND VIANDE;
48591;26/07/2024;1937;FRITE;
48591;26/07/2024;5486;SAND POULET;
48591;26/07/2024;1937;FRITE;
48591;26/07/2024;CODE_COMM;--> glo;
48592;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48592;26/07/2024;4;VIANDE HACHEE;
48592;26/07/2024;175;COUT GRILLADE;
48593;26/07/2024;5944;TACOS V HACHEE;
48593;26/07/2024;2376;--> TACOS;
48593;26/07/2024;4360;--> ALGERIENNE;
48593;26/07/2024;1937;FRITE;
48593;26/07/2024;CODE_COMM;--> glo;
48594;26/07/2024;9053;TACOS VIANDE HACHEE;
48594;26/07/2024;2376;--> TACOS;
48594;26/07/2024;10000;--> BIGGY;
48594;26/07/2024;CODE_COMM;--> ss fromage;
48594;26/07/2024;70240;FRITE;
48595;26/07/2024;9053;TACOS VIANDE HACHEE;
48595;26/07/2024;2376;--> TACOS;
